Pin,Value,Lower,Upper,Result,Error
WL_REG_ON_1V2,-0.588909,-10.0,10.0,PASS,
VBEAT,-0.857155,-10.0,10.0,PASS,
BT_REG_ON_1V2,8.979566,-10.0,10.0,PASS,
VDDIO1P8,7.117309,-10.0,10.0,PASS,
VDDIO1P2,3.706836,-10.0,10.0,PASS,
IC_1V2,8.527210,-10.0,10.0,PASS,
IC_1V8,2.900711,-10.0,10.0,PASS,
IC_3V3,3.361785,-10.0,10.0,PASS,

Total,8
Fail,0
Max,8.979566
Min,-0.857155
Average,4.143419
Std Dev,3.556623
CPK,None
