Pin,Value,Lower,Upper,Result,Error
WL_REG_ON_1V2,2.330429,-10.0,10.0,PASS,
VBEAT,-0.644940,-10.0,10.0,PASS,
BT_REG_ON_1V2,2.201400,-10.0,10.0,PASS,
VDDIO1P8,8.460134,-10.0,10.0,PASS,
VDDIO1P2,0.695462,-10.0,10.0,PASS,
IC_1V2,-1.585723,-10.0,10.0,PASS,
IC_1V8,1.178953,-10.0,10.0,PASS,
IC_3V3,9.150392,-10.0,10.0,PASS,

Total,8
Fail,0
Max,9.150392
Min,-1.585723
Average,2.723263
Std Dev,3.725845
CPK,None
